Country Name,2018,2019
Aruba,,
Afghanistan,18353881130,19291104008
Angola,1.01353E+11,88815697793
Albania,15147020535,15279183290
Andorra,3218316013,3154057987
Arab World,2.77138E+12,2.81741E+12
UAE,4.22215E+11,4.21142E+11
Argentina,5.17627E+11,4.45445E+11
Armenia,12457941907,13672802158
American Samoa,636000000,
Antigua and Barbuda,1605351852,1661962963
Australia,1.43288E+12,1.39657E+12
Austria,4.55095E+11,4.45075E+11
Azerbaijan,47112941176,48047647059
Burundi,3036931818,3012334882
Belgium,5.43734E+11,5.33097E+11
Benin,14250985959,14390709095
Burkina Faso,16059910871,15990803570
Bangladesh,2.74039E+11,3.02571E+11
Bulgaria,66230155100,68558815112
Bahrain,37652500000,38574069149
"Bahamas, The",13022100000,13578800000
Bosnia and Herzegovina,20183510561,20164193807
Belarus,60031262269,63080457023
Belize,1871200000,1879613600
Bermuda,7224329000,7484113000
Bolivia,40287647930,40895322844
Brazil,1.88548E+12,1.83976E+12
Barbados,5086500000,5209000000
Brunei Darussalam,13567351175,13469422959
Bhutan,2446866405,2530547158
Botswana,18663265549,18340480936
Central African Republic,2220978978,2220307369
Canada,1.71626E+12,1.73643E+12
Central Europe and the Baltics,1.64444E+12,1.66885E+12
Switzerland,7.05141E+11,7.03082E+11
Channel Islands,,
Chile,2.98258E+11,2.82318E+11
China,1.38948E+13,1.42799E+13
Cote d'Ivoire,58011466451,58539424930
Cameroon,38694156863,39007354359
"Congo, Dem. Rep.",46831342213,50400746171
"Congo, Rep.",13518403447,12267392147
Colombia,3.33569E+11,3.23616E+11
Comoros,1178530758,1165839927
Cabo Verde,1966983317,1981845740
Costa Rica,60553901420,61801385049
Caribbean small states,74967267520,77721714918
Cuba,1.00023E+11,
Curacao,3127908045,3101787709
Cayman Islands,5517361238,
Cyprus,25309818139,24948935408
Czech Republic,2.48909E+11,2.50681E+11
Germany,3.96377E+12,3.86112E+12
Djibouti,3012820410,3324634256
Dominica,551074074.1,582403703.7
Denmark,3.56879E+11,3.50104E+11
Dominican Republic,85555378044,88941299734
Algeria,1.75406E+11,1.71091E+11
