Country Name,urbanpop2018,urbanpop2019
Aruba,43.411,43.546
Afghanistan,25.495,25.754
Angola,65.514,66.177
Albania,60.319,61.229
Andorra,88.062,87.984
Arab World,58.92541889,59.20164687
United Arab Emirates,86.522,86.789
Argentina,91.87,91.991
Armenia,63.149,63.219
American Samoa,87.153,87.147
Antigua and Barbuda,24.599,24.506
Australia,86.012,86.124
Austria,58.297,58.515
Azerbaijan,55.68,56.031
Burundi,13.032,13.366
Belgium,98.001,98.041
Benin,47.312,47.861
Burkina Faso,29.358,29.98
Bangladesh,36.632,37.405
Bulgaria,75.008,75.347
Bahrain,89.287,89.394
"Bahamas, The",83.025,83.132
Bosnia and Herzegovina,48.245,48.626
Belarus,78.595,79.044
Belize,45.724,45.866
Bermuda,100,100
Bolivia,69.425,69.773
Brazil,86.569,86.824
Barbados,31.147,31.158
Brunei Darussalam,77.629,77.942
Bhutan,40.895,41.612
Botswana,69.446,70.172
Central African Republic,41.364,41.77
Canada,81.411,81.482
Central Europe and the Baltics,62.33378245,62.438582
Switzerland,73.797,73.849
Channel Islands,30.914,30.931
Chile,87.564,87.643
China,59.152,60.308
Cote d'Ivoire,50.779,51.239
Cameroon,56.374,56.968
"Congo, Dem. Rep.",44.46,45.046
"Congo, Rep.",66.916,67.373
Colombia,80.778,81.104
Comoros,28.965,29.164
Cabo Verde,65.732,66.195
Costa Rica,79.34,80.076
Caribbean small states,51.19936183,51.36999058
Cuba,77.037,77.109
Curacao,89.145,89.098
Cayman Islands,100,100
Cyprus,66.81,66.805
Czech Republic,73.792,73.921
Germany,77.312,77.376
Djibouti,77.777,77.915
Dominica,70.483,70.786
Denmark,87.874,87.994
Dominican Republic,81.074,81.828
Algeria,72.629,73.189
East Asia & Pacific (excluding high income),55.63331748,56.57000362
Early-demographic dividend,45.12968495,45.54080566
East Asia & Pacific,59.05257937,59.88726026
Europe & Central Asia (excluding high income),67.63579494,67.81762522
Europe & Central Asia,72.21012317,72.40935588
Ecuador,63.821,63.986
"Egypt, Arab Rep.",42.704,42.73
Euro area,76.99171285,77.21916388
Eritrea,,
Spain,80.321,80.565
Estonia,68.88,69.051
Ethiopia,20.763,21.225
European Union,74.51495795,74.73055441
Fragile and conflict affected situations,44.50757243,44.95006857
Finland,85.382,85.446
Fiji,56.248,56.75
France,80.444,80.709
Faroe Islands,42.064,42.225
"Micronesia, Fed. Sts.",22.703,22.812
Gabon,89.37,89.741
United Kingdom,83.398,83.652
Georgia,58.632,59.039
Ghana,56.06,56.707
Gibraltar,100,100
Guinea,36.14,36.5
